ID,Species Name
68534,Alburnoides kosswigi
65137,Alburnoides kubanicus
68532,Alburnoides kurui
67457,Alburnoides maculatus
66835,Alburnoides manyasensis
65152,Alburnoides namaki
65153,Alburnoides nicolausi
23037,Alburnoides oblongus
65087,Alburnoides ohridanus
67867,Alburnoides parhami
65151,Alburnoides petrubanarescui
65088,Alburnoides prespensis
64985,Alburnoides qanati
67280,Alburnoides recepi
67458,Alburnoides rossicus
67868,Alburnoides samiii
68491,Alburnoides strymonicus
67865,Alburnoides tabarestanensis
22954,Alburnoides taeniatus
68490,Alburnoides thessalicus
65150,Alburnoides varentsovi
67279,Alburnoides velioglui
65224,Alburnus adanensis
9530,Alburnus akili
25774,Alburnus albidus
4730,Alburnus alburnus
67878,Alburnus amirkabiri
62353,Alburnus arborella
55304,Alburnus atropatenae
64207,Alburnus attalus
58198,Alburnus baliki
64208,Alburnus battalgilae
25857,Alburnus belvica
52604,Alburnus caeruleus
65222,Alburnus carinatus
5473,Alburnus chalcoides
64205,Alburnus danubicus
64094,Alburnus demiri
65225,Alburnus derjugini
61948,Alburnus doriae
52607,Alburnus escherichii
48173,Alburnus filippii
52608,Alburnus heckeli
48172,Alburnus hohenackeri
65101,Alburnus istanbulensis
67460,Alburnus kotschyi
64199,Alburnus leobergi
65102,Alburnus macedonicus
65103,Alburnus mandrensis
69022,Alburnus maximus
62440,Alburnus mento
65056,Alburnus mentoides
52610,Alburnus mossulensis
52612,Alburnus nasreddini
65845,Alburnus neretvae
65223,Alburnus nicaeensis
52615,Alburnus orontis
61862,Alburnus qalilus
64201,Alburnus sarmaticus
68538,Alburnus sava
65104,Alburnus schischkovi
65057,Alburnus scoranza
68276,Alburnus selcuklui
52618,Alburnus sellal
9635,Alburnus tarichi
65226,Alburnus thessalicus
68229,Alburnus timarensis
64197,Alburnus vistonicus
64198,Alburnus volviticus
65189,Alburnus zagrosensis
61290,Alcichthys elongatus
52723,Alcockia rostrata
2034,Alcolapia alcalica
2033,Alcolapia grahami
54452,Alcolapia latilabris
54450,Alcolapia ndalalani
12938,Aldrichetta forsteri
7502,Aldrovandia affinis
9009,Aldrovandia gracilis
59483,Aldrovandia mediorostris
9011,Aldrovandia oleosa
9012,Aldrovandia phalacra
9013,Aldrovandia rostrata
1888,Alectis alexandrina
988,Alectis ciliaris
10,Alectis indica
3772,Alectrias alectrolophus
25022,Alectrias benjamini
50409,Alectrias cirratus
61164,Alectrias gallinus
67405,Alectrias markevichi
56843,Alectrias mutsuensis
3773,Alectridium aurantiacum
15332,Alepes apercna
1889,Alepes djedaba
1903,Alepes kleinii
1890,Alepes melanoptera
1891,Alepes vari
49458,Alepidomus evermanni
2728,Alepisaurus brevirostris
99,Alepisaurus ferox
9171,Alepocephalus agassizii
58899,Alepocephalus andersoni
58901,Alepocephalus antipodianus
58903,Alepocephalus asperifrons
9172,Alepocephalus australis
230,Alepocephalus bairdii
7592,Alepocephalus bicolor
58904,Alepocephalus blanfordii
60307,Alepocephalus dentifer
58908,Alepocephalus fundulus
22691,Alepocephalus longiceps
22693,Alepocephalus longirostris
55082,Alepocephalus melas
22688,Alepocephalus owstoni
58911,Alepocephalus planifrons
10000,Alepocephalus productus
5071,Alepocephalus rostratus
11590,Alepocephalus tenebrosus
22694,Alepocephalus triangularis
22687,Alepocephalus umbriceps
46981,Alertichthys blacki
66488,Alestes ansorgii
2405,Alestes baremoze
5229,Alestes dentex
64866,Alestes inferus
11092,Alestes liebrechtsii
5230,Alestes macrophthalmus
11098,Alestes stuhlmannii
69272,Alestion rapax
11130,Alestopetersius bifasciatus
11105,Alestopetersius brichardi
11107,Alestopetersius caudalis
11108,Alestopetersius compressus
66431,Alestopetersius conspectus
11109,Alestopetersius hilgendorfi
11110,Alestopetersius leopoldianus
11112,Alestopetersius nigropterus
5244,Alestopetersius smykalai
11131,Alestopetersius tumbensis
46449,Alfaro cultratus
46451,Alfaro huberi
65078,Algansea amecae
55226,Algansea aphanea
55223,Algansea avia
50221,Algansea barbata
50222,Algansea lacustris
55222,Algansea monticola
50225,Algansea popoche
50227,Algansea tincella
64957,Alionematichthys ceylonensis
64958,Alionematichthys crassiceps
56405,Alionematichthys minyomma
64959,Alionematichthys phuketensis
64965,Alionematichthys piger
64960,Alionematichthys plicatosurculus
27338,Alionematichthys riukiuensis
64961,Alionematichthys samoaensis
64962,Alionematichthys shinoharai
64963,Alionematichthys suluensis
64964,Alionematichthys winterbottomi
6391,Allenbatrachus grunniens
63432,Allenbatrachus meridionalis
50449,Allenbatrachus reticulatus
14035,Allenichthys glauerti
53948,Allips concolor
52390,Alloblennius anuchalis
66456,Alloblennius frondiculus
6046,Alloblennius jugularis
16940,Alloblennius parvus
52391,Alloblennius pictus
24122,Allocareproctus jordani
62924,Allocareproctus kallaion
62923,Allocareproctus tanix
62925,Allocareproctus unangas
62926,Allocareproctus ungak
3710,Alloclinus holderi
11685,Allocyttus folletti
9140,Allocyttus guineensis
12962,Allocyttus niger
9144,Allocyttus verrucosus
11931,Allodontichthys hubbsi
46425,Allodontichthys polylepis
11932,Allodontichthys tamazulae
46426,Allodontichthys zonistius
17476,Allomicrodesmus dorotheae
64170,Allomogurnda flavimarginata
64138,Allomogurnda hoesei
64144,Allomogurnda insularis
64142,Allomogurnda landfordorum
64151,Allomogurnda montana
68809,Allomogurnda multicincta
26397,Allomogurnda nesolepis
64168,Allomogurnda papua
64169,Allomogurnda sampricei
14573,Allomycterus pilatus
11933,Alloophorus robustus
2694,Allosmerus elongatus
91,Allothunnus fallai
46439,Allotoca catarinae
46442,Allotoca diazi
11934,Allotoca dugesii
11935,Allotoca goslinei
6227,Allotoca maculata
46443,Allotoca meeki
46427,Allotoca regalis
59987,Allotoca zacapuensis
5891,Alopias pelagicus
2534,Alopias superciliosus
2535,Alopias vulpinus
1574,Alosa aestivalis
28201,Alosa agone
1575,Alosa alabamae
65105,Alosa algeriensis
101,Alosa alosa
1576,Alosa braschnikowi
1577,Alosa caspia
1578,Alosa chrysochloris
47559,Alosa curensis
5355,Alosa fallax
105,Alosa immaculata
1580,Alosa kessleri
64754,Alosa killarnensis
25775,Alosa macedonica
1581,Alosa maeotica
1582,Alosa mediocris
1583,Alosa pseudoharengus
1584,Alosa sapidissima
1585,Alosa saposchnikowii
1586,Alosa sphaerocephala
66115,Alosa suworowi
48090,Alosa tanaica
28212,Alosa vistonica
63396,Alosa volgensis
8726,Alphestes afer
8727,Alphestes immaculatus
8728,Alphestes multiguttatus
62418,Alticorpus geoffreyi
2191,Alticorpus macrocleithrum
2192,Alticorpus mentale
2194,Alticorpus peterdaviesi
2193,Alticorpus profundicola
52971,Alticus anjouanae
56805,Alticus arnoldorum
46411,Alticus kirkii
67677,Alticus magnusi
9919,Alticus monochrus
59611,Alticus montanoi
67686,Alticus orientalis
6031,Alticus saliens
62209,Alticus sertatus
61229,Alticus simplicirrus
8134,Altolamprologus calvus
8135,Altolamprologus compressiceps
11832,Altrichthys azurelineatus
59851,Altrichthys curatus
4273,Aluterus heudelotii
4274,Aluterus monoceros
1081,Aluterus schoepfii
4275,Aluterus scriptus
8105,Amamiichthys matsubarai
6672,Amanses scopas
48630,Amaralia hypsiura
68703,Amaralia oviraptor
9263,Amarginops platus
4459,Amarsipus carlsbergi
58472,Amatitlania altoflava
63627,Amatitlania coatepeque
63628,Amatitlania kanna
57437,Amatitlania myrnae
57854,Amatitlania nanolutea
3615,Amatitlania nigrofasciata
15901,Amatitlania sajica
26768,Amatitlania septemfasciata
63629,Amatitlania siquia
6099,Amatolacypris trevelyani
64817,Amazonspinther dalmata
554,Amazonsprattus scintilla
10550,Ambassis agassizii
15124,Ambassis agrammus
61467,Ambassis ambassis
11783,Ambassis buruensis
25122,Ambassis buton
9899,Ambassis dussumieri
10551,Ambassis elongata
9900,Ambassis fontoynonti
4806,Ambassis gymnocephalus
5153,Ambassis interrupta
15126,Ambassis jacksoniensis
5982,Ambassis kopsii
15128,Ambassis macleayi
24793,Ambassis macracanthus
15129,Ambassis marianus
9234,Ambassis miops
15133,Ambassis nalua
8016,Ambassis natalensis
9235,Ambassis urotaenia
15135,Ambassis vachellii
50388,Ambastaia nigrolineata
10910,Ambastaia sidthimunki
52300,Ambiserrula jugosa
3359,Ambloplites ariommus
3358,Ambloplites cavifrons
3360,Ambloplites constellatus
3361,Ambloplites rupestris
68067,Amblyceps accari
62764,Amblyceps apangi
63443,Amblyceps arunachalense
60060,Amblyceps caecutiens
62701,Amblyceps carinatum
65817,Amblyceps cerinum
60061,Amblyceps foratum
66255,Amblyceps kurzii
60067,Amblyceps laticeps
58706,Amblyceps macropterus
24792,Amblyceps mangois
60063,Amblyceps murraystuarti
60064,Amblyceps platycephalus
64991,Amblyceps protentum
60065,Amblyceps serratum
60627,Amblyceps tenuispinis
64709,Amblyceps torrentis
64710,Amblyceps tuberculatum
60066,Amblyceps variegatum
68695,Amblyceps waikhomi
68694,Amblyceps yunnanense
15855,Amblychaeturichthys hexanema
15856,Amblychaeturichthys sciistius
5829,Amblycirrhitus bimacula
22482,Amblycirrhitus earnshawi
60598,Amblycirrhitus oxyrhynchos
3655,Amblycirrhitus pinos
23501,Amblycirrhitus unimacula
57800,Amblydoras affinis
47601,Amblydoras bolivarensis
47609,Amblydoras gonzalezi
47610,Amblydoras monitor
51775,Amblydoras nauticus
63410,Amblydoras nheco
59331,Amblyeleotris arcupinna
12694,Amblyeleotris aurora
62930,Amblyeleotris bellicauda
62928,Amblyeleotris biguttata
64543,Amblyeleotris bleekeri
47040,Amblyeleotris callopareia
60453,Amblyeleotris cephalotaenia
59375,Amblyeleotris delicatulus
13152,Amblyeleotris diagonalis
